ALASKA COMMUNICATIONS SYSTEMS GROUP INC,1089511,4813
ALASKA COMMUNICATIONS SYSTEMS HOLDINGS INC,1089510,4813
ALASKA PACIFIC BANCSHARES INC,1081860,6035
ALBANY INTERNATIONAL CORP /DE/,0819793,2221
ALBANY MOLECULAR RESEARCH INC,1065087,8731
ALBEMARLE CORP,0915913,2821
ALBERTA STAR DEVELOPMENT CORP,1142462,1000
ALBERTO CULVER CO,0003327,5990
ALBERTSONS INC /DE/,0003333,5411
ALCAN INC,0004285,3330
ALCATEL,0886125,3661
ALCiS Health  Inc.,0904145,6770
ALCO  INC.,0734543,6331
ALCOA INC,0004281,3350
ALCON INC,1167379,3851
Aldabra Acquisition CORP,1310817,6770
ALDERWOODS GROUP INC,0927914,7200
ALDILA INC,0902272,3949
Aleris International  Inc.,0202890,3341
ALESTRA,1098504,4813
ALEXANDER  BALDWIN INC,0003453,4400
ALEXANDERS INC,0003499,6798
ALEXANDERS J CORP,0103884,5812
ALEXANDRIA REAL ESTATE EQUITIES INC,1035443,6798
ALFA CORP,0743532,6331
ALFA INTERNATIONAL HOLDINGS CORP.,0820600,9995
ALFA LAVAL SPECIAL FINANCE AB,1144396,3433
ALFACELL CORP,0708717,2836
ALICO INC,0003545,0100
ALIGN TECHNOLOGY INC,1097149,3842
ALIMENTATION COUCHE TARD INC,1081825,5412
ALION SCIENCE  TECHNOLOGY CORP,1166568,8731
ALKERMES INC,0874663,2834
ALL AMERICAN SEMICONDUCTOR INC,0818074,5065
ALL AMERICAN SPORTPARK INC,0930245,5900
ALL STATE PROPERTIES LP,0745543,1531
ALLBRITTON COMMUNICATIONS CO,0889156,4833
ALLEGHANY CORP /DE,0775368,6331
ALLEGHENY BANCSHARES INC,1213662,6035
ALLEGHENY ENERGY  INC,0003673,4911
ALLEGHENY GENERATING CO,0774459,4911
ALLEGHENY TECHNOLOGIES INC,1018963,3317
ALLERGAN INC,0850693,2834
ALLERGY RESEARCH GROUP INC,1044119,5122
ALLETE INC,0066756,4931
ALLIANCE ATLANTIS COMMUNICATIONS INC,1005887,7812
ALLIANCE BANCSHARES CALIFORNIA,1140472,6021
ALLIANCE BANKSHARES CORP,1181001,6021
ALLIANCE DATA SYSTEMS CORP,1101215,7389
Alliance Distributors Holding Inc.,1115463,3577
ALLIANCE FIBER OPTIC PRODUCTS INC,1122342,3674
ALLIANCE FINANCIAL CORP /NY/,0796317,6021
ALLIANCE HEALTH INC,0822434,8011
ALLIANCE HEALTHCARD INC,1087216,7331
ALLIANCE IMAGING INC /DE/,0817135,8071
ALLIANCE LAUNDRY CORP,1063697,5080
ALLIANCE LAUNDRY HOLDINGS LLC,1063698,5080
ALLIANCE LAUNDRY SYSTEMS LLC,1063699,5080
ALLIANCE ONE INTERNATIONAL  INC.,0939930,5150
ALLIANCE PHARMACEUTICAL CORP,0736994,2835
